order_id,customer_id,order_date,status
1,1,2024-09-04,completed
2,1,2024-09-25,completed
3,1,2024-12-26,completed
4,2,2024-09-28,completed
5,2,2024-09-06,completed
6,3,2024-10-14,completed
7,4,2023-10-08,completed
8,4,2023-10-08,completed
9,4,2023-10-08,cancelled
10,4,2024-10-10,completed
11,4,2024-11-20,completed
12,5,2023-10-25,completed
13,5,2023-10-08,completed
14,5,2023-10-25,completed
15,5,2024-07-27,completed
16,5,2024-07-11,completed
17,5,2024-07-11,completed
18,5,2024-07-20,completed
19,6,2024-04-23,completed
20,6,2024-09-16,completed
21,6,2024-10-11,completed
22,6,2024-10-09,completed
23,6,2024-11-14,completed
24,8,2024-06-09,completed
25,8,2024-09-23,completed
26,8,2024-09-21,completed
27,8,2024-09-20,completed
28,9,2023-12-06,completed
29,9,2024-03-18,completed
30,9,2024-03-16,completed
31,9,2024-05-19,completed
32,9,2024-05-27,completed
33,10,2023-07-09,completed
34,10,2023-07-09,completed
35,10,2023-11-16,completed
36,10,2023-11-14,completed
37,10,2023-11-24,completed
38,10,2023-11-21,completed
39,10,2023-12-13,refunded
40,10,2023-12-02,completed
41,10,2024-03-03,completed
42,10,2024-03-23,completed
43,10,2024-07-13,completed
44,10,2024-11-09,completed
45,10,2024-11-09,completed
46,10,2024-11-19,completed
47,11,2024-10-25,completed
48,11,2024-10-27,completed
49,11,2024-10-28,cancelled
50,11,2024-11-21,completed
51,11,2024-11-15,completed
52,11,2024-11-15,completed
53,11,2024-12-08,completed
54,11,2024-12-12,completed
55,11,2024-12-10,completed
56,12,2024-01-11,refunded
57,12,2024-03-23,completed
58,13,2024-10-18,completed
59,13,2024-10-22,completed
60,13,2024-10-13,completed
61,13,2024-12-26,completed
62,13,2024-12-28,completed
63,13,2024-12-05,completed
64,15,2023-12-25,completed
65,15,2023-12-08,completed
66,15,2024-04-18,completed
67,15,2024-04-22,completed
68,15,2024-04-02,completed
69,15,2024-04-14,completed
70,15,2024-05-20,completed
71,15,2024-05-27,completed
72,15,2024-05-06,completed
73,15,2024-05-17,completed
74,15,2024-05-21,completed
75,15,2024-07-25,cancelled
76,15,2024-10-24,completed
77,15,2024-12-11,completed
78,16,2023-06-12,completed
79,16,2023-08-25,completed
80,16,2023-08-23,completed
81,16,2023-10-17,completed
82,16,2023-10-28,completed
83,16,2023-11-13,completed
